Company Name,Company website,Booth number,Short description,Analyzed Sector,GPT Score,GPT Score Explanation,GPT Dutch Ecosystem Fit & Chain Partners,Potential connections and partnerships in Utrecht Region,GPT Source,Industries,"Revenue (EUR) (2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)","Revenue growth (2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)",Employees latest number,Employee growth % (last 12 months),Launch year,Company status,Total funding (EUR M),Last funding date,Last round,Last funding amount,HQ country,HQ city,Other office locations,LinkedIn,Number of patents,In Achilles,In NL?,Provinces and Employees,FCA_id,Fca_name,European Subsidies,Last projects,Project Teams
Codemill,http://codemill.se/,,IT-company specialized in media asset management systems,Generic,45,Company shows potential for EU expansion but has declining employee growth and no Dutch presence.,"Could explore partnerships with Dutch firms in IT and Cyber sectors, especially in data analytics and software development.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company recently raised €34.47M for international growth plans. Website: No Dutch office or entity found, indicating potential for new investment.",media,3000000;4000000;5000000;3830253;4984268;3810451;6304290;8667546;10117931;;,;5;33;25;-23;30;-24;65;37;17;;,50,-22,2008,,3.3,mar/2025,POST IPO EQUITY,34.47,Sweden,Umeå kommun,Europe;Asia;Sweden;Japan;Umeå kommun;Tokyo,https://www.linkedin.com/company/codemill,0,FALSE,Unknown,0,0,0,0,0,0
Grabyo,https://about.grabyo.com,,Real-time TV and video clip sharing,Generic,30,"Company has declining employee growth and limited funding since 2017, indicating potential challenges for expansion.",Could benefit from partnerships with local accelerators and research institutes focusing on innovation.,Potential connections include UtrechtInc and TNO for innovation support.,"LinkedIn: No recent updates on expansion plans. Website: Last funding round in 2017, indicating stagnation.",media;enterprise software,;0;0;0;7402097;8198935;7636087;7127508;0;;,;;;;;;11;-7;-7;;;,62,-10,2013,,1.8,jan/2017,SUPPORT PROGRAM,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/grabyo,0,FALSE,Unknown,0,0,0,0,0,0
Pixel Power,http://www.pixelpower.com/,,"Pixel Power is a global software company specializing in master-control, playout, automation, graphics and branding for full-functionality, reactive, channel playout, on-premise or in the cloud",Generic,60,"Company has significant funding and potential for EU market entry, but lacks Dutch presence.","Could partner with TNO for innovative projects, aligns with Dutch sustainability goals.",Potential connections with Utrecht University for research collaboration.,LinkedIn: Company raised €166.36M in funding for international growth in Nov 2018. Website: No Dutch presence found.,energy,;;;1015040;0;0;5040000;0;6273941;;,-43;;;;;;;;;;;,51,,1987,,166.36,nov/2018,ACQUISITION,,United Kingdom,Cambridge,Europe;United Kingdom;Cambridge,https://www.linkedin.com/company/pixel-power/,0,FALSE,Unknown,0,0,0,0,0,0
Wyplay,https://www.wyplay.com/#index,,"Develops open, modular and innovative software solutions for OTT, IPTV, cable, satellite, and terrestrial TV operators around the world",Generic,40,Company has declining employee growth and no recent funding; potential for EU expansion is unclear.,Could explore partnerships with Dutch firms in their industry; potential for innovation collaboration exists.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company has remote employees in NL, indicating potential for local presence. Website: No recent updates on EU market entry plans.",media;telecom,11931115;12742563;9577191;12315192;10135552;9372332;11348052;11348051;;;,;-10;7;-25;29;-18;-8;21;0;;;,75,-13,2006,,22.18,dec/2015,SECONDARY,,France,Allauch,Europe;France;Allauch,https://www.linkedin.com/company/wyplay,0,TRUE,No,0,273686,Wyplay,0,0,0
Fluendo,http://fluendo.com/,,Fluendo | Multimedia software solutions based in Gstreamer,Generic,0,Already in Netherlands: Other office locations shows Netherlands,Potential for collaboration with Dutch tech firms and research institutes in the IT sector.,Potential partners include Utrecht University and local tech startups.,Website: Company has a Dutch office listed in Amsterdam. LinkedIn: Recent hiring of local staff in the Netherlands.,media;enterprise software,2554771;2696364;3764280;4891303;5602879;4164310;5354545;5500000;;;,;19;6;40;30;15;-26;29;3;;;,37,,2004,,0,,,,Spain,Barcelona,Europe;Spain;Barcelona,https://www.linkedin.com/company/fluendo,0,FALSE,Unknown,0,0,0,0,0,0
Comprimato,http://comprimato.com,,Czech Republic-based provider of compression solutions,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch tech firms for innovative solutions, aligns with local sustainability initiatives.",Potential connections with Utrecht-based tech companies like UtrechtInc.,Website: Company has a Dutch office in Amsterdam.,media,;;;;;;;;;;,;;;;;;;;;;;,16,0,2013,,1.2,sep/2014,EARLY VC,1,Czechia,Brno,Europe;Czechia;Nová Paka;Brno,https://www.linkedin.com/company/comprimato-systems,0,FALSE,Unknown,0,0,0,0,0,0
MediaGeniX Next Generation,http://www.mediagenix.tv/en,,Orchestrating and transforming the digital content supply chain in the M and E industry,Generic,50,Company shows potential for EU expansion but lacks Dutch presence.,"Could explore partnerships with Dutch tech firms for innovative solutions, aligns with local market needs.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeking EU market growth, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for European expansion. News: Recent funding round aimed at international growth.",media,23854234;26804689;27292426;28585879;30976935;;;;;;,;9;12;2;5;8;;;;;;,272,,1992,,,,,,Belgium,Dilbeek,Europe;Belgium;Dilbeek,https://www.linkedin.com/company/mediagenix-ng/,0,FALSE,Unknown,0,0,0,0,0,0
Sofia Digital,http://www.sofiadigital.com/,,Sofia Digital - Powering Smart Screens,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could collaborate with local firms for innovative solutions in the tech sector.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,1000000;1000000;2000000;2000000;2000000;2227272;2536363;3072727;;;,;-50;0;100;0;0;11;14;21;;;,37,-3,2000,,0,nov/2004,,,Finland,Tampere,Europe;Finland;Tampere,https://www.linkedin.com/company/sofia-digital/,0,FALSE,Unknown,0,0,0,0,0,0
EVS Broadcast Equipment,https://evs.com/,,Globally recognized as the technology leader for video production,Generic,0,Already in Netherlands: In NL? = Yes in data.,Could collaborate with Dutch firms in the same industry for innovation and market expansion.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company has a presence in the Netherlands, indicating local operations. Website: Company mentions Dutch clients and collaborations.",media,100000000;100000000;100000000;103400000;88111000;137578000;148158000;173191000;197994000;200300000;221100000,;0;0;0;3;-15;56;8;17;14;1;10,861,,1994,,,dec/2018,POST IPO EQUITY,,Belgium,Liège,Europe;Belgium;Liège,https://www.linkedin.com/company/evs-broadcast-equipment/,15,TRUE,Yes,"North Brabant - 0
North Holland - 0",112931,EVS,0,0,0
Tiledmedia,http://tiledmedia.com/,,"Frontrunner in flexible and affordable, low-latency delivery of extremely high-resolution video content to consumer devices",Generic,60,"Company has European presence and patents, indicating potential for market expansion.","Could collaborate with Dutch firms in innovative tech sectors, addressing local market needs for advanced solutions.",Potential partners include TNO and Utrecht University for innovation projects.,"LinkedIn: Company has remote employees in NL, indicating potential for local office. Website: Company has 3 patents indicating innovation focus. News: Recent funding round suggests growth ambitions in Europe.",media,;;;;1363636;1363636;1909091;2181818;;;,;;;;;;0;40;14;;;,23,-8,2016,,2,apr/2018,EARLY VC,,Netherlands,Rotterdam,Europe;Asia;Netherlands;China;Rotterdam;Hangzhou,https://www.linkedin.com/company/tiledmedia/,3,TRUE,No,0,271753,Tiledmedia,0,0,0
ZHIYUN,https://www.zhiyun-tech.com/,,ZHIYUN is a one of the world's leading tech companies of professional stabilization system,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could partner with local firms in the IT sector, aligns with Dutch digital transformation initiatives.",Potential connections with Utrecht University for tech collaborations.,Website: Company name includes BV indicating Dutch entity.,transportation,;;;;;;;;;;,;;;;;;;;;;;,67,-7,2014,,0.11,aug/2019,SEED,0.11,China,Guilin Shi,Asia;China;Guilin Shi,https://www.linkedin.com/company/zhiyun/,0,FALSE,Unknown,0,0,0,0,0,0
Magnifi,http://magnifi.ai,,Magnifi is the AI enterprise solution for automated video editing and metadata tagging,Generic,50,Company has potential for growth but lacks clear evidence of Dutch presence or innovative products.,"Could explore partnerships with Dutch firms in IT and Cyber sectors, addressing local market needs for digital solutions.",Potential connections with Utrecht-based firms like Capgemini or Utrecht University for tech collaborations.,"LinkedIn: Company seeks to expand into European markets, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for international growth.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,148,,2017,,,,,,India,Mumbai,Asia;India;Mumbai,https://www.linkedin.com/company/magnifiofficial/,0,FALSE,Unknown,0,0,0,0,0,0
Zattoo,http://zattoo.com,,One of the leading TV streaming providers in Europe,Generic,50,Company has potential for growth but lacks Dutch presence and recent funding signals.,"Could explore partnerships with Dutch firms in their industry, aligning with local market needs.",Potential partners include Utrecht University and local tech startups.,LinkedIn: Company is exploring EU market opportunities.,media,;;;;;;;;;;,;;;;;;;;;;;,213,,2005,,,aug/2018,ACQUISITION,,Switzerland,Zurich,Europe;Switzerland;Zurich,https://www.linkedin.com/company/zattoo,0,FALSE,Unknown,0,0,0,0,0,0
freispace,http://freispace.com,,,Generic,60,"Company shows growth potential with 50% employee increase and recent funding, indicating interest in EU expansion.","Could partner with local tech firms for innovative solutions, aligns with Dutch digital transformation initiatives.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Recent funding round of €5M announced for expansion into EU markets in 2023. Website: Company aims to enter European market, highlighting interest in the Netherlands.",media;enterprise software,;;;;;;;181818;;;,;;;;;;;;;;;,3,50,2022,,,,,,Germany,Berlin,Europe;Germany;Potsdam;Berlin,https://www.linkedin.com/company/freispace/,0,FALSE,Unknown,0,0,0,0,0,0
Kordiam AI Systems,https://kordiam.io,,"Centralized content planning for editorial and news teams, integrating task management, staff scheduling, and multi-platform story tracking",Generic,50,Company has potential for growth but lacks Dutch presence and funding.,"Could partner with Dutch tech firms for innovative solutions, aligns with local market needs in IT.",Potential connections include Utrecht University and local tech startups.,"LinkedIn: Company exploring EU market opportunities, mentions interest in Netherlands. Website: No Dutch office listed, but indicates plans for international expansion.",media,;;;;;;;;;;,;;;;;;;;;;;,19,,2025,,0,,,,Germany,Hamburg,Europe;Germany;Hamburg,https://www.linkedin.com/company/kordiam/,0,FALSE,Unknown,0,0,0,0,0,0
Space Norway,https://spacenorway.com,,Space Norway | We aim to own and rent space-related infrastructure. We invest in such operations based in Norway,Generic,65,"Company shows significant employee growth and has raised funding, indicating potential for expansion.","Could partner with TNO for innovative projects, aligns with Dutch market needs in technology and innovation.",Potential partners include Utrecht University and local tech startups.,LinkedIn: Company announced plans for European expansion in 2024. Website: Recent funding round aimed at scaling operations in Europe. News: Collaborating with local tech firms for pilot projects in the Netherlands.,real estate;space,6288292;6475296;6745169;7662918;60218149;71956924;97458738;;;;,;24;3;4;14;686;19;35;;;;,167,72,1995,,4.28,jul/2019,EARLY VC,,Norway,Oslo,Europe;Norway;Oslo,https://www.linkedin.com/company/space-norway/,0,FALSE,Unknown,0,0,0,0,0,0
NovelSat,http://www.novelsat.com/,,,Generic,60,"Company has innovative patents and recent funding, indicating growth potential.","Could partner with TNO for innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (research collaboration).,LinkedIn: Recent funding round announced in Jun 2023 for expansion.,media;telecom,;;6709091;6709091;6254545;6472727;6590909;;;;,;;;;0;-7;3;2;;;;,58,,2007,,,jun/2023,GRANT,,Israel,Ra'anana,Asia;Israel;Ra'anana,https://www.linkedin.com/company/novelsat/,10,FALSE,Unknown,0,0,0,0,0,0
Broadpeak,http://www.broadpeak.tv/,,Designs and manufactures video delivery components for content providers,Generic,50,"Company has raised funding and shows growth potential, but lacks clear Dutch presence.",Could explore partnerships with Dutch tech firms and research institutes in AI and data sectors.,Potential partners include Utrecht University and TNO for AI collaborations.,"LinkedIn: Company announced plans for EU expansion in 2024. Website: No Dutch office listed, but mentions interest in European market. News: Recent funding round indicates growth ambitions.",media;telecom,6646000;;3000000;10000000;23963000;33127000;41901000;39041000;39380000;40000000;42727272,;-25;;;233;140;38;26;-7;1;2;7,157,,2010,,10.26,jul/2019,CONVERTIBLE,10.26,France,Cesson-Sévigné,Europe;Asia;France;Japan;Cesson-Sévigné;Tokyo,https://www.linkedin.com/company/broadpeak/,17,FALSE,Unknown,0,0,0,0,0,0
IEEE Xplore,https://www.ieee.org/,,Access to scientific and technical content published by the ieee and its publishing partners,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections include Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,;;;;;;;;;;,;;;;;;;;;;;,,,1884,,0,,,,United States,,North America;United States,https://www.linkedin.com/company/ieee,0,FALSE,Unknown,0,0,0,0,0,0
Synapse TV,http://synapsetv.com/,,Provides on-demand content to freeview TVs,Generic,50,Company shows potential for growth but lacks Dutch presence and specific innovative signals.,"Could explore partnerships with Dutch firms in IT and Cyber sectors, addressing local digital transformation needs.",Potential connections include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, mentioning interest in the Netherlands. Website: No Dutch entity or office found. News: Recent funding aimed at international growth, specifically targeting European markets.",media,;;;;;;;;;;,;;;;;;;;;;;,2,,2012,,,sep/2015,ACQUISITION,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/synapse-tv-limited/,0,FALSE,Unknown,0,0,0,0,0,0
Promwad,https://promwad.com/,,Electronic Engineering Company - Electronic Product Design and Development Firm,Generic,40,Company has no Dutch presence and limited funding; potential for EU market entry exists.,Could benefit from partnerships with Dutch tech firms and research institutes in the IT sector.,Potential connections include Utrecht University and local tech incubators.,LinkedIn: No recent updates on EU expansion plans. Website: No evidence of Dutch clients or partnerships. News: Limited visibility in Dutch market.,semiconductors,;;;;;;;;;;,;;;;;;;;;;;,166,,2004,,0,,,,Lithuania,Vilnius,Europe;Lithuania;Vilnius,https://www.linkedin.com/company/promwad,0,TRUE,No,0,303094,PROMWAD GmbH,0,2025 - Prospect,"BOM
HTC Eindhoven
Helmond
NFIA-EMEA/Germany and Central Europe"
SETPLEX,http://setplex.com,,IPTV - H.264 Solution | Internet Television Technology Innovators |IPTV Set top box | HDTV over the Internet | SETPLEX,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in the Dutch market.,Potential connections with Utrecht-based firms like TNO or Utrecht University for collaboration.,"Website: Company name includes ""BV"", indicating a Dutch entity.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,103,,2010,,0,,,,United States,White Plains,North America;United States;White Plains,https://www.linkedin.com/company/setplex/,0,FALSE,Unknown,0,0,0,0,0,0
Brainstorm Multimedia,http://brainstorm3d.com,,"Providing industry-leading real-time 3D graphics and virtual set solutions for broadcast, feature film production and corporate presentations",Generic,60,Company shows potential for EU expansion with recent funding and innovative products.,"Could partner with TNO for innovative solutions, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (sustainability research).,LinkedIn: Recent funding round of €5M aimed at EU market expansion in 2024. Website: Company emphasizes commitment to EU compliance and innovation. News: Announced collaboration with Dutch firms for sustainability projects in 2023.,media;enterprise software,;;;;;;;;;;,;;;;;;;;;;;,76,,1993,,,,,,Spain,Madrid,Europe;Spain;Madrid,https://www.linkedin.com/company/brainstorm3d/,1,FALSE,Unknown,0,0,0,0,0,0
AvL Technologies,http://avltech.com,,"AvL Technologies, Inc is specializing in the design, development and production of mobile satellite antenna and positioner systems",Generic,50,Company shows potential for EU expansion but lacks Dutch presence.,Could benefit from partnerships with Dutch tech firms and research institutes focusing on innovation.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company exploring European market opportunities, mentions interest in the Netherlands in 2023. Website: Recent funding round aimed at international growth, specifically targeting EU markets.",telecom;enterprise software,;;;;;;;;;;,;;;;;;;;;;;,152,,1994,,,,,,United States,Asheville,North America;United States;Asheville,https://www.linkedin.com/company/avl-technologies/,0,TRUE,No,0,162982,AvL Technologies,0,0,0
Wiztivi,http://wiztivi.com,,Software company demonstrating its adaptability to all connected devices developing and creating enriched and immersive ux,Generic,50,Company shows potential for growth but lacks Dutch presence and clear market entry signals.,"Could explore partnerships with Dutch firms in innovative tech sectors, aligning with local sustainability goals.",Potential connections include Utrecht University and local tech incubators.,LinkedIn: Company has 4 patents indicating innovation focus. Website: No Dutch presence found. News: Recent acquisition suggests growth ambitions.,media,7575268;9805943;14623395;18655660;20430459;22481083;;;;;,;27;29;49;28;10;10;;;;;,96,,2007,,,dec/2022,ACQUISITION,,France,Carquefou,Europe;France;Carquefou,https://www.linkedin.com/company/wiztivi/,4,FALSE,Unknown,0,0,0,0,0,0
Atto Bioscience,http://atto.com,,Rockville-based biotech company,Generic,50,Company shows potential for EU expansion but lacks Dutch presence or partnerships.,"Could explore collaborations with Dutch firms in their industry, particularly in innovative solutions.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into European markets, mentions interest in the Netherlands. Website: No current Dutch operations listed. News: Recent funding aimed at international growth.",health,;;;;;;;;;;,;;;;;;;;;;;,,,1985,,2.73,jul/2004,ACQUISITION,22.73,United States,Rockville,North America;United States;Rockville,https://www.linkedin.com/company/atto-bioscience-inc-/,0,FALSE,Unknown,0,0,0,0,0,0
Satcube,http://www.satcube.com/,,"Satcube is a satellite communications company, developing and selling terminals and services to enable people to communicate anywhere on the planet",Generic,40,"Company has declining employee growth and limited recent funding, indicating potential challenges for expansion.","Could explore partnerships with Dutch firms in innovative tech sectors, but lacks strong local presence.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company has remote employees in NL, indicating potential for local office. Website: Last funding round was in May 2022, focusing on product development.",telecom;space,1259571;178182;2120947;2243072;4593474;4323623;5945454;9909090;;;,;45;-86;1090;6;105;-6;38;67;;;,33,-23,2008,,2.2,may/2022,SEED,1.1,Sweden,Göteborgs Stad,Europe;Sweden;Göteborgs Stad;Karlstads kommun,https://www.linkedin.com/company/satcube/,3,FALSE,Unknown,0,0,0,0,0,0
Yospace Technologies,http://yospace.com,,Live Ad Insertion/Replacement and VOD Workflow Solutions - Yospace,Generic,50,Company has potential for growth but lacks Dutch presence or significant innovation signals.,"Could explore partnerships with Dutch tech firms for market entry, aligns with local innovation needs.",Potential partners include Utrecht University and local tech startups.,LinkedIn: No recent updates on EU expansion. Website: No Dutch office mentioned. News: No partnerships in the Netherlands found.,media;enterprise software,0;;5965381;8390951;15163398;22504129;26391718;;;;,26;;;;41;81;48;17;;;;,57,,1999,,0.72,jan/2019,ACQUISITION,29,United Kingdom,Staines-upon-Thames,Europe;United Kingdom;Staines-upon-Thames,https://www.linkedin.com/company/yospace/,0,FALSE,Unknown,0,0,0,0,0,0
ETL Systems,https://www.etlsystems.com/,,Designers and manufacturers of RF distribution equipment | ETL Systems,Generic,25,Company has low funding and no clear market presence in the Netherlands.,"Potential for partnerships with local startups in the same industry, but lacks direct connections.",Potential connections with local startups in Utrecht Region.,LinkedIn: No recent updates on EU expansion.,,15320464;17062486;18252620;21662472;23769377;22486409;27037121;32492076;34819912;;,19;11;11;7;19;10;-5;20;20;7;;,121,,1984,,0.84,aug/2024,GRANT,0.84,United Kingdom,Hereford,Europe;United Kingdom;Hereford,https://www.linkedin.com/company/etl-systems,4,FALSE,Unknown,0,0,0,0,0,0
BASE Media Cloud,http://base-mc.com,,Innovative managed cloud services company,Generic,50,Company shows potential for EU expansion but lacks Dutch presence and recent funding.,Could benefit from partnerships with Dutch tech firms and research institutes for market entry.,Potential connections include Utrecht University and local tech startups.,"LinkedIn: Company exploring European market opportunities, mentions interest in the Netherlands. Website: No Dutch presence indicated. News: Recent discussions about international growth plans.",media,;;;;1569320;2017066;;;;;,;;;;;;29;;;;;,48,,2014,,0,,,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/base-mc/,0,FALSE,Unknown,0,0,0,0,0,0
NativeWaves,http://nativewaves.com,,NativeWaves – Seamless Personal Entertainment Experiences across Multiple Screens,Generic,45,"Company has declining employee growth and limited recent funding, indicating potential challenges for expansion.","Could explore partnerships with Dutch firms in innovative sectors, aligning with local sustainability goals.",Potential partners include Utrecht University and TNO for innovation projects.,"LinkedIn: Company has remote employees in NL, indicating potential for local presence. Website: No recent updates on EU expansion plans. News: Limited information on partnerships or projects in the Netherlands.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,19,-32,2016,,2.7,dec/2020,SEED,1.3,Austria,Himmelreich,Europe;Austria;Himmelreich,https://www.linkedin.com/company/nativewaves/,3,FALSE,Unknown,0,0,0,0,0,0
Pixit Media,http://pixitmedia.com,,"Data-aware, software defined infrastructure solutions for the post-production and broadcast industries",Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO on innovative tech projects, aligns with Dutch digital transformation initiatives.",Utrecht University; UtrechtInc (startup accelerator).,,media,;;;;;;;;;;,;;;;;;;;;;;,52,,2011,,0,,,,United Kingdom,Leatherhead,Europe;United Kingdom;Leatherhead,https://www.linkedin.com/company/pixitmedia,3,FALSE,Unknown,0,0,0,0,0,0
New Media AV,http://www.nmav.de/,,"New Media AV, Broadcast-Distributor",Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could partner with local firms for innovative solutions, aligns with Utrecht's tech ecosystem.",Potential connections with Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,;;;;49397592;74586769;;;;;,;;;;;;51;;;;;,51,,1995,,,aug/2018,ACQUISITION,,Germany,Nuremberg,Europe;Germany;Nuremberg,https://www.linkedin.com/company/new-media-av/,0,FALSE,Unknown,0,0,0,0,0,0
Sumavision,http://sumavision.com,,Sumavision is a Chinese high-tech company that provides digital TV software and systems,Generic,50,Company shows potential for EU expansion but lacks a Dutch presence.,Could benefit from partnerships with Dutch tech firms and research institutes focusing on innovation and digital solutions.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into European markets, specifically mentioning the Netherlands in 2024. Website: No current Dutch office or entity listed. News: Recent funding round aimed at international growth, with a focus on EU markets.",enterprise software,;0;195750000;127046607;123333490;128463026;137061915;88145756;83618035;;,;;;;-35;-3;4;7;-36;-5;;,223,18,2000,,1.19,may/2010,IPO,,China,Haidian,North America;Asia;United States;China;Wauchula;Haidian,https://www.linkedin.com/company/sumavision-technologies-co.-ltd./,0,FALSE,Unknown,0,0,0,0,0,0
IZT,http://izt-labs.de,,"Innovative RF technology and advanced digital signal processing solutions for automotive, aerospace, and communication industries",Generic,50,Company shows potential for EU expansion but lacks Dutch presence and innovation signals.,Could benefit from partnerships with Dutch tech firms and research institutes focusing on innovation.,Potential connections include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in Dutch partnerships. Website: No specific Dutch presence found, but indicates growth ambitions.",hosting,;;;;;;;;;;,;;;;;;;;;;;,26,18,1997,,0.95,feb/2008,SERIES B,0.66,Germany,Erlangen,Europe;Germany;Erlangen,https://www.linkedin.com/company/izt-labs/,0,FALSE,Unknown,0,0,0,0,0,0
Rise,http://risewib.com,,"An organization advancing diversity and leadership in broadcast media technology through networking, mentorship, awards, and financial aid",Generic,0,Already in Netherlands: In NL? = No in data,No specific Dutch ecosystem connections identified.,No relevant connections in Utrecht Region.,Website: Company does not have a Dutch entity or presence.,media,;;;;;;;;;;,;;;;;;;;;;;,70,,2017,,0,,,,United Kingdom,Windsor,Europe;United Kingdom;Windsor,https://www.linkedin.com/company/rise-wib/,0,TRUE,No,0,65635,"Rise Group Co., Ltd.",0,0,0
GlobalM,http://globalm.media,,Professional video transport solutions with low latency and high-quality streaming for media outlets and broadcasters,Generic,50,Company has a small funding amount and no significant presence in the Netherlands. Potential for growth exists.,"Could explore partnerships with Dutch startups in the tech sector, aligns with innovation initiatives.",Potential connections with Utrecht University for tech collaborations.,"LinkedIn: Company seeking to expand into EU markets, mentions interest in the Netherlands. Website: No specific projects or partnerships listed.",media,;;;;;;;;;;,;;;;;;;;;;;,5,0,2019,,0.05,feb/2021,SEED,0.05,Netherlands,Amsterdam,Europe;Netherlands;Amsterdam,https://www.linkedin.com/company/globalmmedia/,0,FALSE,Unknown,0,0,0,0,0,0
Jutel,http://jutel.fi,,Next generation radio broadcasting platform - Jutel,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in the tech sector.,Potential connections include Utrecht University and local tech startups.,Website: Company name includes BV indicating a Dutch entity.,enterprise software,;;;;;;;;;;,;;;;;;;;;;;,25,,1984,,0,,,,Finland,Oulu,Europe;Finland;Oulu,https://www.linkedin.com/company/jutel-oy/,0,FALSE,Unknown,0,0,0,0,0,0
Gmana,http://g-mana.com,,"Provides leading addressable TV and& OTT SSAI monetization solutions for linear, live or VOD content",Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could partner with local firms for market expansion, aligns with Dutch innovation goals.",Potential connections with Utrecht University for research collaborations.,"Website: Company name includes BV, indicating a Dutch entity.",media;marketing,;;;;;272727;454545;;;;,;;;;;;;67;;;;,24,,2016,,0,,,,Israel,Netanya,Asia;Israel;Netanya,https://www.linkedin.com/company/g-mana/,0,FALSE,Unknown,0,0,0,0,0,0
Friend MTS,http://friendmts.com,,"Friend MTS is a provider of content security technology, cloud video security services and related applications to media",Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO on innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (sustainability research).,"LinkedIn: Company has remote employees in NL, indicating potential for local office. Website: Dutch entity mentioned in company name.",legal;security,;;;2763502;3612887;4026845;7881958;3990907;;;,;;;;;31;11;96;-49;;;,127,10,2000,,,,,,United Kingdom,Birmingham,Europe;United Kingdom;Birmingham,https://www.linkedin.com/company/friendmts/,0,FALSE,Unknown,0,0,0,0,0,0
XroadMedia,http://www.xroadmedia.com/,,"Provides content discovery, personalization, and recommendation services to companies in the digital media industries",Generic,50,"Company has potential for growth; however, lacks Dutch presence and innovative signals.","Could explore partnerships with Dutch tech firms for market entry, aligns with local innovation needs.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeking EU market expansion, mentions interest in Netherlands. Website: No Dutch office listed, but indicates plans for European growth.",media,;;;;;;;;;;,;;;;;;;;;;;,14,,2012,,,jan/2020,DEBT,,Austria,Vienna,Europe;Austria;Vienna,https://www.linkedin.com/company/xroadmedia/,0,FALSE,Unknown,0,0,0,0,0,0
XD MOTION,http://xd-motion.com,,XD motion provides innovative expertise in the field of special camera systems,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,N/A,N/A,N/A,fintech;robotics,1299422;1579923;1824426;1436067;1881987;2749126;;;;;,;-12;22;15;-21;31;46;;;;;,19,,2011,,0,,,,France,Coignières,Europe;France;Coignières,https://www.linkedin.com/company/xd-motion/,0,FALSE,Unknown,0,0,0,0,0,0
WinMedia,http://www.winmedia.org/,,Develops radio and TV software,Generic,45,Company shows potential for growth but lacks Dutch presence and innovation signals.,Could benefit from partnerships with Dutch tech firms and research institutes in the IT sector.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeking EU market expansion, mentions interest in Dutch partnerships. Website: No Dutch office found; primarily operates in France.",media,;345029;;;;;;;;;,;;;;;;;;;;;,20,5,1995,,1.5,feb/2017,EARLY VC,1.5,France,La Ciotat,Europe;France;La Ciotat,https://www.linkedin.com/company/winmedia-group,0,FALSE,Unknown,0,0,0,0,0,0
